family,workload_layers,one_qubit_noise,two_qubit_noise,total_cnot_budget,split_shots,split_mse,split_rmse,dilation_shots,dilation_mse,dilation_rmse,genexp_shots,genexp_mse,genexp_rmse,dil_vs_split_mse_ratio,dil_vs_genexp_mse_ratio
jordan_gamma_1,4,5e-05,0.001,10000.0,312,0.021257867980829036,0.14580078182516387,294,0.02282069172780858,0.15106519032460317,98,0.07858971994766827,0.28033858091184716,1.0735174265071616,0.29037756774046963
jordan_gamma_1,4,5e-05,0.001,100000.0,3125,0.013507851301319122,0.11622328209665704,2941,0.014903224627446997,0.12207876403145224,980,0.052751905751359324,0.22967783034363443,1.1033009095970436,0.28251537864227716
jordan_gamma_1,4,7.500000000000001e-05,0.0015,1000.0,31,0.11211160684286273,0.3348307137089767,29,0.11487547948792665,0.3389328539518213,9,0.3879301024700156,0.6228403507079607,1.0246528680026663,0.2961241696802989
jordan_gamma_1,4,7.500000000000001e-05,0.0015,10000.0,312,0.03192569178792674,0.1786776197175425,294,0.03409313778851417,0.18464327171200734,98,0.09683745867472329,0.3111871762697224,1.0678903378189943,0.3520655979111649
jordan_gamma_1,4,7.500000000000001e-05,0.0015,100000.0,3125,0.023962756726818597,0.15479908503223977,2941,0.026136538639370963,0.1616679889136095,980,0.07034475738548883,0.26522586107973867,1.090715018198199,0.3715492043869438
jordan_gamma_1,4,0.0001,0.002,1000.0,31,0.12437790374428183,0.35267251628710994,29,0.12614573444818522,0.355170007810605,9,0.40248641883636294,0.6344181734757942,1.0142133823668391,0.31341612671773583
jordan_gamma_1,4,0.0001,0.002,10000.0,312,0.04256458461225721,0.2063118625097869,294,0.045124604285543095,0.2124255264452535,98,0.10699859281398216,0.32710639372225997,1.060144359368391,0.42173081999304934
jordan_gamma_1,4,0.0001,0.002,100000.0,3125,0.03444003871244802,0.18558027565570653,2941,0.0371444858369665,0.19272904772495117,980,0.08010588055801268,0.28302982273607263,1.0785262510039217,0.463692372872257
jordan_gamma_1,4,0.00015000000000000001,0.003,1000.0,31,0.14490168934599224,0.3806595451922784,29,0.14482143340052503,0.38055411362975045,9,0.41519846495207013,0.6443589566011092,0.999446135198082,0.34880050295283
jordan_gamma_1,4,0.00015000000000000001,0.003,10000.0,312,0.06089681666879597,0.24677280374627178,294,0.06357210495928226,0.252135092677085,98,0.11527425254081988,0.33952062167241015,1.0439314965351403,0.5514857269343011
