family,workload_layers,one_qubit_noise,two_qubit_noise,split_noisy_variance,split_noisy_bias_squared,dilation_noisy_variance,dilation_noisy_bias_squared,genexp_noisy_variance,genexp_noisy_bias_squared,split_cx_per_shot,dilation_cx_per_shot,genexp_cx_per_shot
jordan_gamma_1,4,0.0002,0.004,2.935871233523755,0.064775691382941,2.6166740447679486,0.06750373514388376,2.9894035429078776,0.08708160134382899,32.0,34.0,102.0
jordan_gamma_1,4,0.00025,0.005,2.9622128205553366,0.07358724689844445,2.617574173464482,0.07574669863541061,2.996008489985115,0.08767940598227322,32.0,34.0,102.0
neutral_rank_one,1,1.25e-05,0.00025,3.7667437719225187,0.00023956336160148417,3.770522443255099,0.00037630461279798135,3.8240232493601547,0.006227576675503396,8.0,10.0,51.0
neutral_rank_one,1,2.5e-05,0.0005,3.78102594960983,0.0009321391353565935,3.7880767062096172,0.0014525191857360582,3.875463688384208,0.0211744028356153,8.0,10.0,51.0
neutral_rank_one,1,5e-05,0.001,3.807157113387581,0.003528695667238132,3.819422852187567,0.005412396360488898,3.9378165059800936,0.062024048200277675,8.0,10.0,51.0
neutral_rank_one,1,7.500000000000001e-05,0.0015,3.830331920404134,0.007515947998886677,3.8463200412095535,0.011350426786818588,3.9690764268514798,0.10404596474619597,8.0,10.0,51.0
neutral_rank_one,1,0.0001,0.002,3.8508659574123474,0.012652057059086145,3.869372124744294,0.01881754304361798,3.9846839673876016,0.14036708614064833,8.0,10.0,51.0
neutral_rank_one,1,0.00015000000000000001,0.003,3.8851210414662503,0.025544947816630564,3.9059791753707565,0.036883072915412096,3.9962893210857273,0.1914039063591904,8.0,10.0,51.0
neutral_rank_one,1,0.0002,0.004,3.9118663940561262,0.04079808652168183,3.932677585086899,0.05725250684855654,3.9991159706283406,0.21965888396564673,8.0,10.0,51.0
neutral_rank_one,1,0.00025,0.005,3.932667507632461,0.05733832377475554,3.9520520347420782,0.07830038585658274,3.99979295737968,0.23427577331163107,8.0,10.0,51.0
neutral_rank_one,2,1.25e-05,0.00025,3.665083444175246,0.0012931538479339678,3.670508927794411,0.0016530241593379074,3.759595221543861,0.015448677200436432,16.0,18.0,67.0
neutral_rank_one,2,2.5e-05,0.0005,3.703170853192862,0.0048906355205943055,3.7127283523712746,0.006202669277993993,3.8470365634554295,0.04995184002109588,16.0,18.0,67.0
neutral_rank_one,2,5e-05,0.001,3.7671329802678657,0.01750928299483903,3.7819441553747906,0.021869477702501677,3.938104059954791,0.13382325757917074,16.0,18.0,67.0
neutral_rank_one,2,7.500000000000001e-05,0.0015,3.817619697652438,0.03532118321575746,3.834805499854956,0.04347294589956792,3.974963820466674,0.208283887234373,16.0,18.0,67.0
neutral_rank_one,2,0.0001,0.002,3.8574047890501078,0.056395881165500664,3.875099338097562,0.06843923492253216,3.9898733380198177,0.26417382680751755,16.0,18.0,67.0
neutral_rank_one,2,0.00015000000000000001,0.003,3.9132884024560717,0.10289677689451035,3.929032497965578,0.12161825376687488,3.9983409448248386,0.3293379141992946,16.0,18.0,67.0
neutral_rank_one,2,0.0002,0.004,3.94765079522924,0.1494095959784273,3.960012035629073,0.17241472147974618,3.999727192625096,0.3577146916461369,16.0,18.0,67.0
neutral_rank_one,2,0.00025,0.005,3.9686314498583375,0.19208058098925204,3.977662310547359,0.21693504598518254,3.999954708715555,0.3695327202382742,16.0,18.0,67.0
neutral_rank_one,3,1.25e-05,0.00025,3.9661745655180325,0.00030052492817738856,3.966722566680754,0.00035461868342726,3.9768015890579163,0.0023955969243236353,24.0,26.0,83.0
neutral_rank_one,3,2.5e-05,0.0005,3.971772509979681,0.0011051174776685884,3.972681601087304,0.0012938449413484696,3.986697746430166,0.0073826123255855535,24.0,26.0,83.0
