sample_id,workload_layers,one_qubit_noise,two_qubit_noise,operator_ratio,dil_vs_split_ideal_ratio,dil_vs_genexp_ideal_ratio,genexp_vs_split_ideal_ratio,split_ideal_factor,dilation_ideal_factor,genexp_ideal_factor,split_noisy_variance,split_noisy_bias_squared,dilation_noisy_variance,dilation_noisy_bias_squared,genexp_noisy_variance,genexp_noisy_bias_squared,split_cx_per_shot,dilation_cx_per_shot,genexp_cx_per_shot
2,1,5e-05,0.001,0.5399115788713077,1.2734482284714905,0.19975656221046423,6.3750007227786645,29.93630328734051,38.122332388249035,190.84395509411706,3.812996339175411,0.0017633373726085033,3.85425723859902,0.0026630546382043615,3.9810229440860985,0.05033059578701582,8.0,10.0,51.0
2,1,7.500000000000001e-05,0.0015,0.5399115788713077,1.2734482284714905,0.19975656221046423,6.3750007227786645,29.93630328734051,38.122332388249035,190.84395509411706,3.8449421438363096,0.003808630668511751,3.871826355575728,0.005681684578948437,4.041705969166291,0.08308928537074597,8.0,10.0,51.0
2,1,0.0001,0.002,0.5399115788713077,1.2734482284714905,0.19975656221046423,6.3750007227786645,29.93630328734051,38.122332388249035,190.84395509411706,3.8747355503072978,0.006499838358044759,3.88741268986234,0.009579186270378163,4.085330188633597,0.11065364885939095,8.0,10.0,51.0
2,1,0.00015000000000000001,0.003,0.5399115788713077,1.2734482284714905,0.19975656221046423,6.3750007227786645,29.93630328734051,38.122332388249035,190.84395509411706,3.928424042107546,0.013477339705511522,3.9134479442834267,0.01939318824986371,4.1450928829954545,0.14813640032297395,8.0,10.0,51.0
2,1,0.0002,0.004,0.5399115788713077,1.2734482284714905,0.19975656221046423,6.3750007227786645,29.93630328734051,38.122332388249035,190.84395509411706,3.9750873457180353,0.022082263986110868,3.93379259892989,0.03104319144688032,4.184636827352782,0.16814018459971358,8.0,10.0,51.0
2,1,0.00025,0.005,0.5399115788713077,1.2734482284714905,0.19975656221046423,6.3750007227786645,29.93630328734051,38.122332388249035,190.84395509411706,4.015627161475342,0.031804352855204825,3.94961276336473,0.04370867260589843,4.212192964783491,0.1782134532501441,8.0,10.0,51.0
2,2,1.25e-05,0.00025,0.5399115788713077,0.86212693510245,0.20588104937437973,4.187500198402111,68.3440031086681,58.92120593270835,286.1905265771422,4.3136241135618265,0.002524842080823629,3.3667605641182767,0.0032099973711642396,4.448093769421026,0.029833745822522226,16.0,18.0,67.0
2,2,2.5e-05,0.0005,0.5399115788713077,0.86212693510245,0.20588104937437973,4.187500198402111,68.3440031086681,58.92120593270835,286.1905265771422,4.348668294356805,0.009545576215865974,3.448401418996145,0.012041753747512094,4.538895027694634,0.09630151476036221,16.0,18.0,67.0
2,2,5e-05,0.001,0.5399115788713077,0.86212693510245,0.20588104937437973,4.187500198402111,68.3440031086681,58.92120593270835,286.1905265771422,4.40099294239028,0.03415163408877535,3.5820951265447905,0.042434810875154466,4.585991581871555,0.257389820645021,16.0,18.0,67.0
2,2,7.500000000000001e-05,0.0015,0.5399115788713077,0.86212693510245,0.20588104937437973,4.187500198402111,68.3440031086681,58.92120593270835,286.1905265771422,4.434492739536489,0.0688468900588228,3.6840328988430477,0.08430948989083704,4.557968932670144,0.40007906529859855,16.0,18.0,67.0
2,2,0.0001,0.002,0.5399115788713077,0.86212693510245,0.20588104937437973,4.187500198402111,68.3440031086681,58.92120593270835,286.1905265771422,4.453886243083476,0.10985028306389436,3.761601213261412,0.13265962480269652,4.510265521399138,0.5071288168693627,16.0,18.0,67.0
2,2,0.00015000000000000001,0.003,0.5399115788713077,0.86212693510245,0.20588104937437973,4.187500198402111,68.3440031086681,58.92120593270835,286.1905265771422,4.464269895633331,0.2001571126771692,3.865147432501566,0.2355019643993361,4.422036930216829,0.6321957663900148,16.0,18.0,67.0
2,2,0.0002,0.004,0.5399115788713077,0.86212693510245,0.20588104937437973,4.187500198402111,68.3440031086681,58.92120593270835,286.1905265771422,4.452729144300616,0.2902547251948101,3.924381764134942,0.33354522336516823,4.362563135963917,0.6870305753615268,16.0,18.0,67.0
