sample_id,workload_layers,one_qubit_noise,two_qubit_noise,total_cnot_budget,operator_ratio,dil_vs_split_ideal_ratio,dil_vs_genexp_ideal_ratio,split_shots,split_mse,split_rmse,dilation_shots,dilation_mse,dilation_rmse,genexp_shots,genexp_mse,genexp_rmse,dil_vs_split_mse_ratio,dil_vs_genexp_mse_ratio,genexp_vs_split_mse_ratio
0,1,7.500000000000001e-05,0.0015,10000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,1250,0.02528011217868345,0.15899720808455553,909,0.025497740047195787,0.15968011788320982,186,0.44780560241721906,0.6691827870000984,1.0086086591299166,0.05693930560395183,17.713750605696088
0,1,7.500000000000001e-05,0.0015,100000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,12500,0.022025813594955333,0.14841096184229563,9090,0.02217582509977947,0.1489154965065069,1869,0.42356966591922646,0.6508222998017404,1.0068107134466304,0.05235461102166919,19.230602497073637
0,1,0.0001,0.002,1000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,125,0.07344430930968392,0.2710061056686434,90,0.07507708704743798,0.27400198365602757,18,0.8360414674244332,0.9143530321623226,1.022231507833634,0.08980067373778196,11.383338958219298
0,1,0.0001,0.002,10000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,1250,0.040422179879408535,0.20105267936391333,909,0.040789564684678474,0.20196426586076674,186,0.582987304999464,0.7635360535033457,1.0090886935431478,0.06996647154214786,14.422460805891461
0,1,0.0001,0.002,100000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,12500,0.037119966936381,0.1926654274549043,9090,0.037398491044405555,0.1933868947069722,1869,0.5585725976295246,0.7473771455092298,1.0075033501107884,0.06695368015387365,15.047766572283011
0,1,0.00015000000000000001,0.003,1000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,125,0.11292955434679247,0.33604992835409514,90,0.11536060904431167,0.3396477720290708,18,1.0150191815458613,1.0074816035768899,1.0215271787051752,0.1136536246227573,8.988073914016033
0,1,0.00015000000000000001,0.003,10000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,1250,0.07909552143002825,0.28123926011499223,909,0.07987877605223115,0.28262833554375105,186,0.7610090395463373,0.8723583206150654,1.0099026418694996,0.10496429332803923,9.62139228350069
0,1,0.00015000000000000001,0.003,100000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,12500,0.07571211813835182,0.27515835102419084,9090,0.07636958377828912,0.2763504727303522,1869,0.7365020991092128,0.8581970048358435,1.0086837570537373,0.10369228257551047,9.727664701750554
0,1,0.0002,0.004,1000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,125,0.16039904406587127,0.400498494461429,90,0.16369489251819408,0.40459225464434445,18,1.105550320927186,1.051451530469753,1.020547806076508,0.14806643299683453,6.892499437048816
0,1,0.0002,0.004,10000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,1250,0.1259186385277735,0.3548501634884413,909,0.12725064403038863,0.35672208234196634,186,0.851513193474983,0.9227747252038186,1.010578302927897,0.1494406017493224,6.762407880443905
0,1,0.0002,0.004,100000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,12500,0.12247059797396372,0.3499579945850126,9090,0.12364626780631997,0.35163371255657494,1869,0.8270036494769287,0.9093974100891913,1.0095996088188137,0.14951115135286883,6.752670952523178
0,1,0.00025,0.005,1000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,125,0.21288590005711455,0.46139560038768745,90,0.2170833906143225,0.46592208642038263,18,1.148682248076796,1.0717659483659647,1.019717090498158,0.1889847179041712,5.395764810016161
0,1,0.00025,0.005,10000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,1250,0.17789423872646218,0.4217751044412913,909,0.17986696988551995,0.4241072622409571,186,0.8947098886892599,0.9458910554018681,1.011089348217123,0.20103384589726964,5.029448368280236
0,1,0.00025,0.005,100000.0,0.5302041859540813,0.9968508370308568,0.14906181063930937,12500,0.17439507259339693,0.41760636081529806,9090,0.17618622497827574,0.4197454287759138,1869,0.870206593524778,0.9328486444888999,1.0102706593612016,0.20246482420298859,4.989857686826219
0,2,1.25e-05,0.00025,1000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,62,0.08439404642679255,0.2905065342239182,52,0.06936600081908825,0.26337425997824515,14,0.4018462655363313,0.6339134527175861,0.8219300265364057,0.17261825421348057,4.761547556377831
0,2,1.25e-05,0.00025,10000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,625,0.010244084589025303,0.10121306530792012,526,0.009388368410250994,0.09689359323634868,143,0.06600849481439958,0.25692118405145103,0.9164672869168754,0.14222969992951492,6.443571823402925
0,2,1.25e-05,0.00025,100000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,6250,0.002894940946845176,0.053804655438402134,5263,0.003466151161792312,0.0588740279052853,1438,0.033185459034792766,0.18216876525571765,1.1973132528211412,0.1044478896060555,11.463259404637366
0,2,2.5e-05,0.0005,1000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,62,0.09063052220768475,0.3010490362178307,52,0.0784347669857787,0.2800620770218251,14,0.47057457017403725,0.6859843804154999,0.8654343489938321,0.1666787199248153,5.192230594188679
0,2,2.5e-05,0.0005,10000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,625,0.01607681312791718,0.12679437340795993,526,0.017238007153060616,0.13129359143941724,143,0.13065137057768922,0.36145728734898847,1.0722278735159916,0.1319389691576973,8.12669585309882
0,2,2.5e-05,0.0005,100000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,6250,0.008687653329247499,0.09320758193005277,5263,0.011195412737851481,0.10580837744645498,1438,0.09742904624327889,0.3121362623010644,1.2886578588675335,0.11490836839248843,11.214656311765829
0,2,5e-05,0.001,1000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,62,0.11163825516521947,0.3341231137847537,52,0.10712972748289214,0.32730677885264176,14,0.6208871609120621,0.787963933763508,0.9596148499843989,0.17254299046145877,5.5615985756242585
0,2,5e-05,0.001,10000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,625,0.03648372449708691,0.19100713205816924,526,0.043942443457817365,0.20962452971400405,143,0.2800373656279221,0.5291855682347376,1.2044396251628862,0.1569163577842054,7.675679210062066
0,2,5e-05,0.001,100000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,6250,0.0290350161289132,0.17039664353769765,5263,0.03770330382680021,0.1941733859899451,1438,0.2467244806536282,0.4967136807594776,1.2985459921702986,0.15281541469624638,8.497480406354548
0,2,7.500000000000001e-05,0.0015,1000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,62,0.1408392879585999,0.37528560851516796,52,0.14518497051537188,0.3810314560707185,14,0.7435671713160661,0.862303410242628,1.0308556129455113,0.19525468056692688,5.279543670617248
0,2,7.500000000000001e-05,0.0015,10000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,625,0.06530327679630289,0.2555450582506007,526,0.08048598688511266,0.28370052323729095,143,0.40521334874715403,0.6365637036048741,1.2324953790017061,0.1986261981101084,6.20509978406007
0,2,7.500000000000001e-05,0.0015,100000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,6250,0.05781675917133633,0.2404511575587365,5263,0.0740975813841911,0.2722087092364811,1438,0.3721444071552878,0.6100363982216863,1.2815934764625527,0.1991097540618736,6.436618248568053
0,2,0.0001,0.002,1000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,62,0.1752043679588236,0.4185742084252488,52,0.18833084414027995,0.43397101762707607,14,0.8297607654733379,0.9109120514480736,1.074920941380533,0.22697005206415904,4.735959355010759
0,2,0.0001,0.002,10000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,625,0.099451472344513,0.3153592750253479,526,0.12248601316223197,0.34998001823280134,143,0.49435156241040523,0.7031013884287282,1.2316158853629062,0.24777106512014102,4.970781736623328
0,2,0.0001,0.002,100000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,6250,0.09194345888931135,0.3032217981763701,5263,0.1159844662008253,0.34056492215262757,1438,0.4615704126032281,0.6793897354267491,1.2614759940721434,0.25128228117283385,5.020154975449665
0,2,0.00015000000000000001,0.003,1000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,62,0.2508499049261642,0.5008491838130159,52,0.27869224100976275,0.5279130998656528,14,0.9225629179878385,0.9605013888526338,1.1109920136975684,0.3020848069827109,3.6777487249173486
0,2,0.00015000000000000001,0.003,10000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,625,0.17499497787834645,0.41832401064049196,526,0.21132602762414374,0.4597021074828173,143,0.5916198716653717,0.7691682986612044,1.2076119565617136,0.35719900183419234,3.3807820020792585
0,2,0.00015000000000000001,0.003,100000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,6250,0.1674768518938558,0.40923935770384523,5263,0.2046742587087559,0.45240939281667875,1438,0.5592752207730561,0.7478470570732068,1.222104764892973,0.3659633953133945,3.3394180416498154
0,2,0.0002,0.004,1000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,62,0.32652250635743896,0.5714214787330267,52,0.3637181374179689,0.6030904885819116,14,0.9590424763528835,0.9793071409690034,1.1139144479670644,0.3792513328514318,2.937140496229792
0,2,0.0002,0.004,10000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,625,0.25082138786678476,0.500820714294831,526,0.29548786377239983,0.543587954035407,143,0.630556013898522,0.7940755719064289,1.1780808099560398,0.46861477372247207,2.51396429651135
0,2,0.0002,0.004,100000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,6250,0.24331850614071285,0.4932732570702702,5263,0.28875077717490844,0.5373553546536114,1438,0.5984514567277229,0.7735964430681691,1.1867193406485974,0.4824965733290565,2.4595394169551335
0,2,0.00025,0.005,1000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,62,0.3960509797286784,0.6293258136519416,52,0.43741013414181656,0.6613698920738806,14,0.9728562703475924,0.9863347658617698,1.1044288652977754,0.44961434435277275,2.456391525692133
0,2,0.00025,0.005,10000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,625,0.320617518343892,0.566230976143033,526,0.3686930879300345,0.6072010276095015,143,0.6456068501670665,0.8034966397982424,1.1499467959033263,0.5710798883788581,2.0136356038867262
0,2,0.00025,0.005,100000.0,0.5302041859540813,0.7917356715608701,0.18227008211456389,6250,0.31314116462227376,0.5595901755948488,5263,0.3619079371997669,0.6015878466190676,1438,0.6136231950696933,0.783341046460412,1.155734148323546,0.5897885544542731,1.9595737143338396
0,3,1.25e-05,0.00025,1000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,41,0.10488708623349949,0.3238627583305921,37,0.10314536280969666,0.32116251775339016,11,0.4157305827288296,0.6447717291637636,0.9833943006107977,0.2481062666418644,3.963601217821332
0,3,1.25e-05,0.00025,10000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,416,0.012093392006511246,0.10996995956401569,370,0.012055764736059118,0.10979874651406143,116,0.05635023263504715,0.2373820394112561,0.9968886090493164,0.21394347764521934,4.659588691469475
0,3,1.25e-05,0.00025,100000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,4166,0.002961031316865259,0.05441535920000216,3703,0.002945984966519888,0.05427692849194663,1169,0.02243681379813907,0.14978923124890878,0.9949185440019932,0.13130139568944638,7.577364572385592
0,3,2.5e-05,0.0005,1000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,41,0.11228950690429677,0.33509626513033053,37,0.10941336758178029,0.3307769151282784,11,0.4695374922982454,0.6852280586040281,0.9743863928001056,0.2330237081734083,4.181490374683251
0,3,2.5e-05,0.0005,10000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,416,0.0175589557828574,0.1325102101079664,370,0.017375985344054334,0.13181800083469,116,0.09630282402875531,0.31032696310303964,0.9895796514857849,0.18043069369249226,5.484541633322786
0,3,2.5e-05,0.0005,100000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,4166,0.008235977876042676,0.0907522885443815,3703,0.008171418626427765,0.0903958993894511,1169,0.06108202348644806,0.24714777661643664,0.9921613133757068,0.1337777984424618,7.416487077281648
0,3,5e-05,0.001,1000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,41,0.13336776591262034,0.3651955173775006,37,0.12840081953698063,0.35833060089389607,11,0.570584362070969,0.7553703476249044,0.9627575198425836,0.22503389169472227,4.278277874466334
0,3,5e-05,0.001,10000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,416,0.03538832244438116,0.1881178419086854,370,0.03487490977793276,0.18674825240931375,116,0.18034407083353438,0.42466936648825326,0.9854920315238082,0.1933798522831608,5.096146366275941
0,3,5e-05,0.001,100000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,4166,0.025745602371894823,0.16045436227131635,3703,0.025521476908880448,0.15975442688351535,1169,0.1435185113940199,0.3788383710687447,0.9912946118029445,0.1778270737411221,5.574486443195123
0,3,7.500000000000001e-05,0.0015,1000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,41,0.15928156346051264,0.39910094394841095,37,0.1524599308340646,0.3904611771150425,11,0.643323941222127,0.8020747728373752,0.9571724907877415,0.23698780826411558,4.03891026208826
0,3,7.500000000000001e-05,0.0015,10000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,416,0.05872822383913197,0.24233906791751916,370,0.05786153528868298,0.24054424808895966,116,0.24351442124463246,0.49347180390031653,0.9852423844313253,0.23761030247385548,4.1464632390665495
0,3,7.500000000000001e-05,0.0015,100000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,4166,0.04883219185527069,0.22098007117220025,3703,0.04840084418679091,0.22000191859797702,1169,0.20578584843189612,0.45363625123208146,0.9911667354650348,0.23520006140173894,4.214143183287905
0,3,0.0001,0.002,1000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,41,0.18705165047312142,0.4324946825951984,37,0.17861244429899759,0.42262565504119315,11,0.6899408001172338,0.8306267513855028,0.9548830167882613,0.2588808261065993,3.6885042092498166
0,3,0.0001,0.002,10000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,416,0.08444967768805195,0.29060226717637966,370,0.08324250133847874,0.2885177660707894,116,0.2842940234447349,0.5331922949975317,0.9857053764724552,0.2928042606377921,3.366431124756764
0,3,0.0001,0.002,100000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,4166,0.07435202794204177,0.2726756827112417,3703,0.07370464854982661,0.27148600065164796,1169,0.24601460991100602,0.49599859869863144,0.9912930499660374,0.299594599591011,3.308781437713806
0,3,0.00015000000000000001,0.003,1000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,41,0.24119570119189676,0.4911167897678685,37,0.23020732264076404,0.4797992524387299,11,0.735595436529636,0.8576686053072223,0.9544420630349862,0.31295371233789504,3.049786679010468
0,3,0.00015000000000000001,0.003,10000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,416,0.13564071882056067,0.3682943372094671,370,0.13388611432195024,0.36590451530686285,116,0.3237945407351709,0.5690294726419457,0.9870643232071662,0.413490956388467,2.387148516689293
0,3,0.00015000000000000001,0.003,100000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,4166,0.125252446431639,0.3539102236890579,3703,0.12425312643445345,0.3524955693827278,1169,0.2849343853236487,0.5337924552891776,0.9920215530661833,0.43607627873104166,2.274880798269771
0,3,0.0002,0.004,1000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,41,0.2879215116051352,0.5365831823726264,37,0.2751895051495813,0.5245850790382636,11,0.751919195249731,0.8671327437305842,0.9557795929016413,0.36598281688790246,2.6115422604509564
0,3,0.0002,0.004,10000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,416,0.18044924495395726,0.424793179034171,370,0.17838149944727627,0.4223523404070069,116,0.3374633859610119,0.5809159887290174,0.9885411240861186,0.528595121332319,1.8701291105269948
0,3,0.0002,0.004,100000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,4166,0.1698722816013449,0.412155652152612,3703,0.1686998274394213,0.41073084549303246,1169,0.29835269600222547,0.5462167115735526,0.9930980254643597,0.5654375834370303,1.7563353667221444
0,3,0.00025,0.005,1000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,41,0.3252417751243395,0.5702997239385089,37,0.31138967830753317,0.5580230087617652,11,0.7577694909523505,0.8704995640161748,0.9574098474542186,0.41092928921720573,2.329865192325482
0,3,0.00025,0.005,10000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,416,0.21650788473213592,0.4653040777084765,370,0.21433488266915876,0.4629631547641332,116,0.3421587694482219,0.5849433899517302,0.9899634044937181,0.6264193754694736,1.5803524655535828
0,3,0.00025,0.005,100000.0,0.5302041859540813,1.0097354594617807,0.28343449151424427,4166,0.2058067577372239,0.45365929698092144,3703,0.20462852944616533,0.45235885030157785,1169,0.3029390946168045,0.550399032172845,0.9942750748128352,0.6754774576223159,1.471958928596505
0,4,1.25e-05,0.00025,1000.0,0.5302041859540813,0.7977866645275337,0.2515189363890359,31,0.16313731326815178,0.4039026036907311,28,0.13624234418113398,0.3691102060105274,9,0.5981570924569227,0.7734061626706389,0.8351390705888968,0.22777017258379445,3.6665866347432177
0,4,1.25e-05,0.00025,10000.0,0.5302041859540813,0.7977866645275337,0.2515189363890359,312,0.022427733324242416,0.14975891734465235,285,0.02068474256427759,0.14382191267076652,98,0.0966112595854337,0.31082351839176153,0.9222841321159813,0.21410281423756816,4.3076693568941895
0,4,1.25e-05,0.00025,100000.0,0.5302041859540813,0.7977866645275337,0.2515189363890359,3125,0.008454440797724293,0.09194803313679034,2857,0.009350717951319953,0.09669911039570092,985,0.05093920821016311,0.22569716039454973,1.1060125885365373,0.18356622098916625,6.02514222157361
0,4,2.5e-05,0.0005,1000.0,0.5302041859540813,0.7977866645275337,0.2515189363890359,31,0.18317737149181962,0.4279922563456255,28,0.16016311973177813,0.4002038477223553,9,0.6961303463591184,0.8343442612969292,0.8743608363161316,0.23007633637789077,3.8003075417544485
