schedule_index,theta_1,theta_2,method,true_score,noisy_mean_score,noisy_per_shot_variance,cx_cost_per_evaluation
7,-1.5707963267948966,0.0,genexp,0.21936672339493044,0.05159476224784768,0.5656836045800265,54.0
8,-1.5707963267948966,1.5707963267948966,split,-0.05689236432581401,-0.0432445047442036,0.534866583583478,8.0
8,-1.5707963267948966,1.5707963267948966,dilation,-0.05689236432581401,-0.0404901329775671,0.4330265467891892,10.0
8,-1.5707963267948966,1.5707963267948966,genexp,-0.05689236432581401,-0.015014235523941327,0.5599457565034438,54.0
9,-1.5707963267948966,3.141592653589793,split,-0.18776488861394466,-0.14429987378232406,0.5354047285361739,8.0
9,-1.5707963267948966,3.141592653589793,dilation,-0.18776488861394466,-0.13511800518455158,0.3766075909131964,10.0
9,-1.5707963267948966,3.141592653589793,genexp,-0.18776488861394466,-0.04824115509334057,0.5658369451215802,54.0
10,0.0,-3.141592653589793,split,-0.057118671454349956,-0.0391348158673997,0.5924825171633263,8.0
10,0.0,-3.141592653589793,dilation,-0.057118671454349956,-0.03676159173954719,0.3172785627230746,10.0
10,0.0,-3.141592653589793,genexp,-0.057118671454349956,-0.022021533388847714,0.5835433817047502,54.0
11,0.0,-1.5707963267948966,split,0.24846332932223464,0.19668214476910104,0.574828493703483,8.0
11,0.0,-1.5707963267948966,dilation,0.24846332932223464,0.18400978094176346,0.4008063865235672,10.0
11,0.0,-1.5707963267948966,genexp,0.24846332932223464,0.0514251046317355,0.5896878664099408,54.0
12,0.0,0.0,split,0.45492833810007927,0.3552845609413006,0.46778695662801767,8.0
12,0.0,0.0,dilation,0.45492833810007927,0.33252781905240686,0.44017365197890296,10.0
12,0.0,0.0,genexp,0.45492833810007927,0.1054110524115337,0.572983567877295,54.0
13,0.0,1.5707963267948966,split,0.14934633732349467,0.11938870247967112,0.5602620679702743,8.0
13,0.0,1.5707963267948966,dilation,0.14934633732349467,0.11168265777142306,0.4221930180067862,10.0
13,0.0,1.5707963267948966,genexp,0.14934633732349467,0.0318571226030617,0.5747763206796158,54.0
14,0.0,3.141592653589793,split,-0.057118671454349956,-0.03913482573035848,0.5924825216210907,8.0
14,0.0,3.141592653589793,dilation,-0.057118671454349956,-0.03676157140945749,0.3172785630769537,10.0
14,0.0,3.141592653589793,genexp,-0.057118671454349956,-0.022021542726695223,0.5835434003273878,54.0
