family,method,total_cnot_budget,shots,ideal_mse,ideal_rmse,noisy_mse,noisy_rmse,noisy_bias_squared
jordan_gamma_1,split,3457.9028325618065,432,0.0058027243249039176,0.0761756150280647,0.04763975133632013,0.2182653232566276,0.041186222853296255
jordan_gamma_1,split,3531.38611819271,441,0.005684301379497715,0.0753943060150945,0.04750804667340128,0.21796340673012357,0.041186222853296255
jordan_gamma_1,split,3606.4309842174475,450,0.005570615351907761,0.07463655506457785,0.04738161019699917,0.2176731728922955,0.041186222853296255
jordan_gamma_1,split,3683.0706155066437,460,0.005449515018170635,0.0738208305166681,0.04724692786344042,0.21736358449252813,0.041186222853296255
jordan_gamma_1,split,3761.338902136767,470,0.005333567890124452,0.0730312802169348,0.047117976693011814,0.2170667563055472,0.041186222853296255
jordan_gamma_1,split,3841.270454376358,480,0.005222451892413525,0.0722665336958507,0.046994398488017744,0.2167819145778027,0.041186222853296255
jordan_gamma_1,split,3922.900617990692,490,0.005115871241547943,0.07152531888462954,0.046875864291390776,0.21650834693237758,0.041186222853296255
jordan_gamma_1,split,4006.2654898716905,500,0.005013553816716984,0.07080645321379249,0.04676207146262888,0.21624539639638315,0.041186222853296255
jordan_gamma_1,split,4091.4019339999904,511,0.004905629957648713,0.0700402024386617,0.04664204341037319,0.215967690663148,0.041186222853296255
jordan_gamma_1,split,4178.34759774619,522,0.004802254613713587,0.06929830166543467,0.04652707401166084,0.2157013537548173,0.041186222853296255
jordan_gamma_1,split,4267.140928518563,533,0.004703146169528129,0.06857948796490193,0.046416850066553876,0.21544570097023025,0.041186222853296255
jordan_gamma_1,split,4357.821190764496,544,0.004608045787423699,0.06788258824929777,0.04631108370746227,0.2152001015507713,0.041186222853296255
jordan_gamma_1,split,4450.428483333244,556,0.00450859156179585,0.06714604650905256,0.0462004751998184,0.2149429580140238,0.041186222853296255
jordan_gamma_1,split,4545.00375720767,568,0.004413339627391712,0.0664329709360624,0.04609454029108906,0.21469639095962711,0.041186222853296255
jordan_gamma_1,split,4641.588833612777,580,0.004322029152342228,0.06574214137326398,0.045992988895824385,0.2144597605515412,0.041186222853296255
jordan_gamma_1,split,4740.226422509077,592,0.004234420453308264,0.06507242467672665,0.04589555444901638,0.21423247757755212,0.041186222853296255
jordan_gamma_1,split,4840.960141478949,605,0.004143432906377673,0.06436950292162953,0.04579436219985215,0.21399617332992696,0.041186222853296255
jordan_gamma_1,split,4943.834535014343,617,0.004062847501391398,0.06374046988681051,0.04570473874416548,0.21378666643213623,0.041186222853296255
jordan_gamma_1,split,5048.895094214394,631,0.003972705084561794,0.0630293985736957,0.04560448641061213,0.21355206955356842,0.041186222853296255
