method,total_cnot_budget,trial_id,shots_per_evaluation,schedule_cx_cost,selected_theta_1,selected_theta_2,reported_best_score,selected_true_score,dense_grid_optimum_score,regret
split,19952.62314968879,49,60,328.0,-0.39269908169872414,0.0,0.4963838171255743,0.4426683614663711,0.46117153202478534,0.018503170558414217
split,19952.62314968879,50,60,328.0,0.0,1.5707963267948966,0.45394667831692925,0.14934633732349467,0.46117153202478534,0.31182519470129066
split,19952.62314968879,51,60,328.0,-0.39269908169872414,-0.39269908169872414,0.44536030360462414,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,19952.62314968879,52,60,328.0,0.0,0.0,0.535334597512739,0.45492833810007927,0.46117153202478534,0.00624319392470607
split,19952.62314968879,53,60,328.0,0.0,-0.39269908169872414,0.462169563342438,0.45440492458022935,0.46117153202478534,0.006766607444555983
split,19952.62314968879,54,60,328.0,-0.7853981633974483,0.0,0.4880421891318193,0.3935964418743362,0.46117153202478534,0.06757509015044916
split,19952.62314968879,55,60,328.0,-0.39269908169872414,0.0,0.517638904693394,0.4426683614663711,0.46117153202478534,0.018503170558414217
split,19952.62314968879,56,60,328.0,0.0,-0.39269908169872414,0.4681686812938062,0.45440492458022935,0.46117153202478534,0.006766607444555983
split,19952.62314968879,57,60,328.0,-0.39269908169872414,0.0,0.5155913792129555,0.4426683614663711,0.46117153202478534,0.018503170558414217
split,19952.62314968879,58,60,328.0,-0.39269908169872414,0.0,0.47273094470236837,0.4426683614663711,0.46117153202478534,0.018503170558414217
split,19952.62314968879,59,60,328.0,0.0,-0.39269908169872414,0.5200479290939031,0.45440492458022935,0.46117153202478534,0.006766607444555983
split,19952.62314968879,60,60,328.0,-0.39269908169872414,-0.39269908169872414,0.4751228790463644,0.45172274146765273,0.46117153202478534,0.009448790557132603
split,19952.62314968879,61,60,328.0,0.39269908169872414,-0.39269908169872414,0.510585689828414,0.41609367348466614,0.46117153202478534,0.0450778585401192
split,19952.62314968879,62,60,328.0,-0.39269908169872414,-0.39269908169872414,0.433787633302923,0.45172274146765273,0.46117153202478534,0.009448790557132603
