family,workload_layers,one_qubit_noise,two_qubit_noise,split_noisy_factor,dilation_noisy_factor,genexp_noisy_factor,dil_vs_split_noisy_ratio,dil_vs_genexp_noisy_ratio,split_cx_per_shot,dilation_cx_per_shot,genexp_cx_per_shot
neutral_rank_one,1,1.25e-05,0.00025,30.13586669189641,37.7089874933615,195.34279240337335,1.2512992534408016,0.19304007600902046,8.0,10.0,51.0
neutral_rank_one,1,2.5e-05,0.0005,30.25566472890913,37.89529228274347,198.72854315999396,1.2525023866533898,0.19068872382481275,8.0,10.0,51.0
neutral_rank_one,1,5e-05,0.001,30.485486509168034,38.24835254084157,203.99186913123242,1.2546413694050438,0.1874993974207647,8.0,10.0,51.0
neutral_rank_one,1,7.500000000000001e-05,0.0015,30.702783000632618,38.576704759831316,207.7292430945317,1.256456287986547,0.18570666404573644,8.0,10.0,51.0
neutral_rank_one,1,0.0001,0.002,30.908144184814162,38.88189678033107,210.37760503310005,1.2579822504980607,0.18481956182652393,8.0,10.0,51.0
neutral_rank_one,1,0.00015000000000000001,0.003,31.285328011665893,39.428622625251414,213.5723561189915,1.2602911694117125,0.18461482254418646,8.0,10.0,51.0
neutral_rank_one,1,0.0002,0.004,31.62131596685221,39.89930109550865,215.15751920995606,1.2617849661074836,0.18544228080903793,8.0,10.0,51.0
neutral_rank_one,1,0.00025,0.005,31.92004679516499,40.30352441059465,215.93750694275943,1.2626398911388665,0.1866443906906746,8.0,10.0,51.0
neutral_rank_one,2,1.25e-05,0.00025,58.6620256290483,66.09891520994708,252.9279418859736,1.126775192318217,0.2613349664614998,16.0,18.0,67.0
neutral_rank_one,2,2.5e-05,0.0005,59.32898393646711,66.94075853334705,261.09822423569926,1.1282977406967067,0.25638151591915126,16.0,18.0,67.0
neutral_rank_one,2,5e-05,0.001,60.55427643018542,68.46864566080325,272.81913223666083,1.1306987664156554,0.25096717044539657,16.0,18.0,67.0
neutral_rank_one,2,7.500000000000001e-05,0.0015,61.64705439872227,69.80901239194377,280.2775988558154,1.1323981830572374,0.24907096634524817,16.0,18.0,67.0
neutral_rank_one,2,0.0001,0.002,62.62081110284221,70.98369476955943,285.02116278346256,1.1335479933816708,0.2490471025952815,16.0,18.0,67.0
neutral_rank_one,2,0.00015000000000000001,0.003,64.2589633674403,72.91171412074947,289.9544866001805,1.1346543781578255,0.25145916856009115,16.0,18.0,67.0
neutral_rank_one,2,0.0002,0.004,65.5529668431764,74.38368231160116,291.94860941036893,1.1347111487654045,0.2547834787150705,16.0,18.0,67.0
neutral_rank_one,2,0.00025,0.005,66.57139313918694,75.50275316628125,292.75566094958833,1.1341621318998192,0.2579036488017993,16.0,18.0,67.0
neutral_rank_one,3,1.25e-05,0.00025,95.19540213622798,103.14400677894828,330.2733661002019,1.0834977789299693,0.3122988934798192,24.0,26.0,83.0
neutral_rank_one,3,2.5e-05,0.0005,95.34906299291964,103.32336151942019,331.50866918763063,1.0836326889451728,0.3116761977073371,24.0,26.0,83.0
neutral_rank_one,3,5e-05,0.001,95.6192662130183,103.63491677317285,333.1478980961687,1.0838288231819042,0.31107780467898044,24.0,26.0,83.0
neutral_rank_one,3,7.500000000000001e-05,0.0015,95.8462792753952,103.8923503590715,334.08563419970983,1.083947662282826,0.3109752103167857,24.0,26.0,83.0
neutral_rank_one,3,0.0001,0.002,96.03672413822416,104.10473698040153,334.62332692173777,1.0840096631218408,0.31111022037250174,24.0,26.0,83.0
